flag,vtuber_name,platform,platform_uid,follower
0,花满Official,bilibili,690804827,184084
0,佩内洛珀·克莱因,bilibili,491979247,183490
0,奇奇哟ovo,bilibili,3493292169759322,182924
0,柚恩,bilibili,1795147802,182887
0,天气阿准official,bilibili,490981706,182871
0,礼墨Sumi,bilibili,435243735,182710
1,露早,bilibili,1669777785,182566
0,茂Sigeru,bilibili,2064099563,182541
0,Ya酱,bilibili,1377545740,182432
0,白露_Hakuro,bilibili,1189811162,181941
0,希亚娜Ciyana,bilibili,1926156228,180492
0,绒米Romi,bilibili,1738710719,180279
0,莉姬,bilibili,387108043,179963
0,尾巴Mezd,bilibili,3493295372110314,179880
0,莉泽·赫露艾斯塔,bilibili,436596841,179833
0,幽灵子辰,bilibili,4763529,178057
0,魔狼咪莉娅,bilibili,1838190318,177298
1,宣小纸,bilibili,3461582034045213,175308
0,芝士小狼,bilibili,3493277313534134,175033
0,米饼Misa,bilibili,1505256,173220
0,龙崎,bilibili,308459,172447
0,甜崽Babys,bilibili,557080920,171918
0,星弥,bilibili,477342747,171103
0,恋乃夜舞字幕组,bilibili,1701495895,170387
0,黑無象,bilibili,310941,170068
0,里奈Rina,bilibili,7591465,169436
0,晴奈子_Senako,bilibili,1217962385,168753
0,Minicatty,bilibili,423902976,168073
0,唐虎虎_忘川主播,bilibili,1934290510,167980
0,一支橘猫,bilibili,4365978,167685
0,月之美兔,bilibili,109891,167031
0,Sawako碎花子,bilibili,477007,167015
0,Yomemi,bilibili,292044559,166571
0,括号笑叔,bilibili,1749046,166064
0,理芽,bilibili,489046950,165931
0,夜雨,bilibili,109564538,165019
0,多多poi二创组,bilibili,534963525,165016
0,伊达洌子,bilibili,12325184,164725
0,弥饭MIF,bilibili,3494350206012317,164701
0,Nu神占领宇宙喵,bilibili,3493114262063246,164638
0,诺莺Nox,bilibili,529249,163368
0,时乃空,bilibili,286179206,163340
0,易枕枕,bilibili,20622349,162862
0,猫芒ベル,bilibili,487550002,161115
0,椎名唯华,bilibili,403927583,160795
0,萨比萌Sabimon,bilibili,1950604344,159959
0,木几萌Moe,bilibili,439438614,158785
0,莉莉莉莉尔,bilibili,2473680,158181
0,露米,bilibili,2000609327,157926
0,鹿卡上学不迟到,bilibili,1550656130,157746
0,思诺,bilibili,3537115310721781,157545
0,V子Official,bilibili,670241936,156943
0,紫贝儿official,bilibili,632171719,156886
0,天选姬,bilibili,703405,156300
0,戌神沁音,bilibili,412135619,156267
0,芙姆米,bilibili,3546614652209776,156226
0,水龍敬_Official,bilibili,124025181,156189
0,躲在天台的猫猫,bilibili,57086,155986
0,飞鸟穹,bilibili,3493135286012349,154715
0,科尔Channel,bilibili,521950190,154598
0,顾德正,bilibili,2117027592,154054
0,Alban_Official,bilibili,1113185260,154033
0,PochiKorone,bilibili,300312007,152859
0,吉诺儿kino,bilibili,1383815813,152858
0,绿川千代,bilibili,1786813,152753
0,昼歌里Hiru_u,bilibili,3494380161730626,151974
0,飞鸟尤卡里Official,bilibili,1828506816,151759
0,星海玲奈,bilibili,35231887,151327
0,晨悠光,bilibili,2140412037,150857
0,安柏琳,bilibili,495061433,150613
0,莎布Shub,bilibili,21995982,149849
0,Afaer-Official,bilibili,1287888117,149448
0,渡恩Dawn,bilibili,1262439284,149149
0,陽向ここみ,bilibili,492862,149138
0,樱巫女,bilibili,366690056,148724
0,绫濑光_Official,bilibili,6747203,148610
0,静凛,bilibili,403921378,148215
0,海娅,bilibili,3546563678833475,147825
0,弥希,bilibili,477317922,147528
